time,open,high,low,close,vwap,volume,count
1679788800,1743.94,1798.41,1742.09,1779.64,1766.67,242.93763511,431
1679875200,1776.06,1779.65,1690.63,1716.09,1715.64,721.38870803,951
1679961600,1716.54,1790.00,1705.22,1773.10,1745.41,17204.16170791,7351
1680048000,1774.41,1822.99,1773.48,1793.34,1803.53,16098.41327213,6382
1680134400,1793.39,1826.13,1766.98,1791.09,1800.43,13555.47552782,12774
1680220800,1793.60,1845.37,1782.12,1822.80,1821.69,366.30512557,656
1680307200,1822.22,1838.96,1810.03,1822.53,1822.67,101.14820303,244
1680393600,1821.58,1824.68,1775.97,1793.59,1799.94,121.52707231,284
1680480000,1793.99,1839.07,1765.00,1811.03,1773.47,1303.76508907,1349
1680566400,1811.30,1888.51,1804.53,1871.74,1854.46,955.90464593,1150
1680652800,1871.53,1939.90,1870.76,1909.90,1910.28,615.42979353,1311
1680739200,1909.42,1909.42,1856.11,1870.65,1883.08,307.22924041,774
1680825600,1873.38,1881.68,1844.56,1867.83,1863.32,299.88850218,1062
1680912000,1864.97,1879.07,1850.04,1850.19,1863.88,149.61360343,374
1680998400,1850.28,1872.70,1827.65,1860.42,1855.36,348.39762395,542
1681084800,1860.44,1918.72,1850.68,1910.93,1882.29,381.64184254,904
1681171200,1911.70,1936.52,1885.54,1893.32,1910.87,513.75618659,1068
1681257600,1892.44,1932.09,1858.50,1920.65,1898.37,376.96533992,1239
1681344000,1919.43,2021.37,1902.52,2010.52,2001.15,1451.99772788,1751
1681430400,2012.64,2130.25,2012.64,2101.74,2098.91,2540.37122730,2117
1681516800,2101.88,2109.70,2075.79,2093.26,2100.06,709.78829463,522
1681603200,2092.56,2139.79,2077.00,2116.59,2105.32,506.39509653,608
1681689600,2120.22,2120.22,2046.00,2076.67,2080.28,1230.40621473,819
1681776000,2076.20,2122.87,2053.15,2103.68,2097.52,672.01594504,643
1681862400,2104.94,2105.37,1925.19,1938.85,1992.85,1778.02731801,1552
1681948800,1935.26,1981.20,1916.96,1939.26,1945.40,836.85974551,934
1682035200,1943.07,1952.89,1826.59,1849.76,1898.58,1533.96098080,1440
1682121600,1848.66,1887.02,1845.00,1877.29,1865.13,796.39596896,463
1682208000,1874.11,1880.86,1838.67,1862.21,1858.92,2388.17883139,787
1682294400,1861.79,1884.14,1808.48,1843.02,1847.78,990.94198351,699
1682380800,1842.47,1876.58,1804.36,1869.87,1837.48,1111.56604868,751
1682467200,1866.88,1964.53,1788.00,1867.03,1883.45,2493.95264568,1791
1682553600,1866.60,1935.81,1863.67,1909.42,1902.39,3053.13166278,1174
1682640000,1908.90,1923.15,1876.99,1892.89,1895.01,1464.08233164,873
1682726400,1892.58,1918.14,1887.44,1909.03,1908.27,831.93386831,561
1682812800,1908.84,1937.85,1868.53,1868.53,1907.40,657.17007752,644
1682899200,1871.26,1885.50,1809.69,1832.49,1840.02,1525.44196882,930
1682985600,1830.64,1881.32,1825.05,1870.49,1847.83,1238.66306420,795
1683072000,1871.39,1914.84,1845.62,1904.50,1873.28,690.89481296,770
1683158400,1906.05,1915.46,1868.79,1878.25,1890.34,1428.85505746,851
1683244800,1878.36,1998.66,1877.54,1995.39,1957.77,1213.76403659,1030
1683331200,1995.61,2017.58,1864.81,1902.04,1928.90,1326.63127374,999
1683417600,1900.19,1933.46,1872.32,1872.83,1910.99,792.94775756,753
1683504000,1872.23,1885.23,1813.64,1848.94,1850.79,1415.85351494,940
1683590400,1849.23,1860.06,1833.00,1849.39,1844.57,1282.03646446,527
1683676800,1848.21,1886.90,1786.34,1842.48,1845.07,1023.78240526,900
1683763200,1842.30,1842.30,1770.33,1794.71,1801.50,1440.05029214,801
1683849600,1795.99,1815.33,1741.28,1808.50,1774.71,1394.61582665,764
1683936000,1808.51,1811.77,1789.73,1805.34,1804.59,290.08582506,190
1684022400,1794.02,1822.98,1793.53,1800.27,1805.96,410.49138850,226
1684108800,1800.18,1845.91,1788.88,1817.46,1828.68,915.92921576,500
1684195200,1817.25,1832.04,1799.05,1824.07,1816.31,1279.16546789,599
1684281600,1824.91,1835.82,1785.57,1821.23,1813.63,778.01968948,405
1684368000,1822.76,1830.84,1772.63,1803.78,1794.45,1278.04465131,480
1684454400,1800.16,1827.97,1799.14,1814.26,1810.77,531.08307000,299
1684540800,1813.09,1827.21,1810.51,1819.06,1816.54,227.98975709,144
1684627200,1820.15,1820.15,1799.52,1805.27,1810.92,351.08787400,203
